id,user_id,category,status,created_at,cluster_id,cluster_label
1487,217,hygiene,resolved,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1488,254,quantity,resolved,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1489,273,food_quality,resolved,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1490,339,quantity,resolved,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1491,252,quantity,resolved,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1492,340,hygiene,open,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1493,362,quantity,resolved,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1494,383,service,resolved,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1495,221,quantity,resolved,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1496,231,food_quality,resolved,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1497,241,service,resolved,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1498,297,food_quality,resolved,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1499,303,quantity,resolved,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1500,372,food_quality,resolved,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1501,399,hygiene,resolved,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1502,273,service,open,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1503,217,food_quality,open,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1504,220,quantity,resolved,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1505,231,quantity,resolved,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1506,232,hygiene,open,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1507,242,hygiene,resolved,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1508,272,quantity,resolved,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1509,359,hygiene,resolved,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1510,313,hygiene,resolved,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1511,220,service,resolved,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1512,349,quantity,resolved,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1513,358,service,resolved,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1514,366,hygiene,resolved,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1515,375,hygiene,resolved,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1516,397,food_quality,resolved,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1517,208,food_quality,resolved,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1518,292,service,resolved,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1519,327,quantity,resolved,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1520,334,service,resolved,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1521,356,hygiene,open,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1522,357,food_quality,resolved,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1523,399,quantity,resolved,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1524,232,quantity,resolved,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1525,242,quantity,open,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1526,252,quantity,resolved,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1527,271,food_quality,open,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1528,322,hygiene,open,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1529,390,service,resolved,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1530,211,hygiene,resolved,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1531,216,quantity,resolved,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1532,232,food_quality,open,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1533,330,service,open,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1534,374,hygiene,resolved,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1535,228,hygiene,resolved,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1536,241,quantity,resolved,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1537,242,hygiene,resolved,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1538,248,quantity,resolved,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1539,271,hygiene,resolved,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1540,287,quantity,open,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1541,291,quantity,open,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1542,298,food_quality,open,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1543,312,hygiene,open,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1544,357,service,resolved,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1545,363,food_quality,resolved,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1546,372,food_quality,resolved,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1547,398,service,resolved,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1548,233,hygiene,open,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1549,252,hygiene,resolved,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1550,271,service,resolved,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1551,283,service,open,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1552,346,quantity,open,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1553,363,service,resolved,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1554,379,quantity,open,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1555,216,quantity,open,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1556,233,food_quality,resolved,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1557,293,food_quality,resolved,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1558,305,hygiene,resolved,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1559,339,service,open,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1560,372,hygiene,resolved,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1561,374,service,open,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1562,215,hygiene,resolved,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1563,221,food_quality,open,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
1564,228,service,resolved,2026-08-04 05:58:46.845782,-1,Uncategorized / one-off
